날짜,강수량,평균기온
2017-10-27,0.0,14.4
2020-03-04,0.0,4.3
2013-10-27,0.0,10.1
2012-04-28,0.0,16.9
2013-07-17,8.5,26.4
2017-08-01,2.2,26.6
2010-10-18,0.1,14.2
2010-05-05,0.4,20.2
2013-07-21,1.3,27.2
2013-09-08,0.0,21.4
2011-02-13,0.0,-3.7
2018-11-01,0.0,7.7
2014-08-14,18.2,21.0
2012-01-09,0.0,0.1
2017-05-30,0.0,23.1
2017-04-13,0.0,13.1
2011-09-26,-0.0,18.4
2011-12-24,-0.8,-3.1
2020-01-20,0.0,2.6
2016-06-13,0.1,22.5
2010-06-06,1.6,22.1
2011-08-09,35.9,25.1
2013-02-21,-0.0,-0.2
2012-06-28,0.0,22.8
2017-06-18,0.0,23.4
2015-09-11,1.5,21.0
2018-08-20,0.0,26.4
2017-06-05,0.0,20.3
2010-05-15,0.0,16.0
2020-02-12,12.6,7.8
2020-04-28,0.0,13.2
2017-06-11,0.9,20.4
2013-12-27,0.0,-2.4
2014-11-18,0.0,5.4
2013-09-22,1.6,22.2
2015-09-08,0.0,20.0
2017-09-28,0.2,19.7
2018-03-22,0.0,5.0
2018-01-21,0.0,1.2
2020-03-14,0.0,5.1
2013-05-27,51.8,19.5
2011-09-08,0.1,21.8
2013-02-15,0.0,1.4
2014-01-17,0.0,-0.1
2010-05-25,1.9,15.2
2010-04-11,0.9,12.3
2010-06-22,0.0,23.0
2011-06-20,0.8,1677.6
2015-09-25,0.0,20.6
2017-12-21,0.0,-0.1
2017-05-05,3.7,19.8
2019-10-03,28.9,22.0
2019-10-21,0.0,15.3
2015-11-22,4.6,11.3
2019-11-24,1.2,12.8
2010-03-23,2.4,7.0
2015-01-21,3.1,2.9
2015-06-22,0.2,22.3
2020-09-10,0.7,22.2
2019-04-01,0.0,5.7
2019-02-02,0.0,2.1
2016-11-16,0.0,6.6
2017-08-04,0.0,28.5
2018-09-25,0.3,16.5
2011-02-09,-0.0,0.8
2012-01-27,0.1,0.1
2012-08-12,-26.8,26.2
2011-07-02,2.1,26.0
2010-04-12,3.8,11.8
2016-03-08,-2.8,5.9
2015-02-19,0.2,2.3
2019-05-28,0.0,17.8
2012-07-31,0.1,28.9
2015-07-30,0.0,28.7
2011-04-24,0.4,10.4
2011-09-24,0.0,18.1
2017-11-13,0.4,8.2
2012-03-26,0.0,4.6
2014-10-31,23.6,12.9
2013-01-23,1.4,2.5
2019-08-20,0.2,26.0
2013-07-12,6.3,26.0
2014-05-29,0.0,22.8
2016-06-17,0.0,23.2
2018-01-09,1.4,-1.3
2012-11-27,0.0,1.8
2017-07-03,29.4,25.6
2017-08-21,26.0,25.4
2011-02-27,43.0,6.1
2016-01-21,0.0,-4.7
2013-10-04,0.0,16.2
2016-11-22,0.9,6.3
2017-12-16,0.2,-1.7
2013-05-10,15.9,15.6
2010-08-12,3.1,26.3
2019-07-28,10.9,26.9
2015-06-08,1.3,20.2
2020-07-13,83.2,19.4
2014-12-26,0.0,-2.1
2019-03-18,0.0,7.5
