day,hour,bike_rent
1,0,1552
1,1,1356
1,2,1032
1,3,816
1,4,580
1,5,616
1,6,1148
1,7,2104
1,8,1840
1,9,2168
1,10,2680
1,11,3676
1,12,5116
1,13,6184
1,14,8100
1,15,8836
1,16,8472
1,17,7460
1,18,5692
1,19,4688
1,20,4764
1,21,4592
1,22,2900
1,23,2104
2,0,1860
2,1,1575
2,2,930
2,3,645
2,4,590
2,5,700
2,6,1040
2,7,1850
2,8,2905
2,9,3865
2,10,4905
2,11,6575
2,12,7740
2,13,9640
2,14,10870
2,15,11490
2,16,10615
2,17,9420
2,18,7215
2,19,5935
2,20,5695
2,21,5355
2,22,3400
2,23,2500
3,0,2004
3,1,1692
3,2,1182
3,3,768
3,4,690
3,5,612
3,6,1104
3,7,1650
3,8,3030
3,9,3654
3,10,4890
3,11,6534
3,12,8508
3,13,9750
3,14,12252
3,15,13008
3,16,12720
3,17,10380
3,18,8214
3,19,7038
3,20,7338
3,21,6426
3,22,3888
3,23,2604
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
5,0,360
5,1,351
5,2,233
5,3,180
5,4,157
5,5,227
5,6,543
5,7,1403
5,8,2808
5,9,1367
5,10,1023
5,11,1210
5,12,1415
5,13,1439
5,14,1543
5,15,1597
5,16,1774
5,17,2370
5,18,3118
5,19,1919
5,20,1396
5,21,1231
5,22,733
5,23,422
6,0,808
6,1,594
6,2,342
6,3,286
6,4,280
6,5,420
6,6,922
6,7,2350
6,8,4760
6,9,2544
6,10,1710
6,11,2164
6,12,2530
6,13,2700
6,14,2792
6,15,3244
6,16,3504
6,17,4538
6,18,5412
6,19,932
6,20,438
6,21,440
6,22,266
6,23,232
7,0,465
7,1,294
7,2,207
7,3,174
7,4,147
7,5,156
7,6,324
7,7,747
7,8,1395
7,9,723
7,10,447
7,11,627
7,12,831
7,13,798
7,14,822
7,15,756
7,16,1062
7,17,1350
7,18,1752
7,19,1038
7,20,867
7,21,702
7,22,459
7,23,270
8,0,376
8,1,328
8,2,204
8,3,212
8,4,188
8,5,244
8,6,432
8,7,1296
8,8,2704
8,9,1404
8,10,1016
8,11,1272
8,12,1528
8,13,1616
8,14,1828
8,15,1944
8,16,1852
8,17,2960
8,18,3476
8,19,2092
8,20,1580
8,21,1516
8,22,908
8,23,608
9,0,855
9,1,705
9,2,615
9,3,555
9,4,340
9,5,335
9,6,465
9,7,750
9,8,1380
9,9,1830
9,10,1980
9,11,2545
9,12,3105
9,13,3240
9,14,3550
9,15,3680
9,16,3590
9,17,3155
9,18,2845
9,19,2525
9,20,2415
9,21,2145
9,22,1385
9,23,1095
10,0,1230
10,1,1050
10,2,714
10,3,534
10,4,408
10,5,384
10,6,492
10,7,774
10,8,1290
10,9,1788
10,10,2292
10,11,3234
10,12,4086
10,13,5166
10,14,5574
10,15,6378
10,16,5742
10,17,5274
10,18,4314
10,19,3972
10,20,4002
10,21,3552
10,22,2364
10,23,1638
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
