관객,전체스크린수,전체영화상영횟수,평균개봉기간,최고점유율,점유율편차,관객수,스크린수
25385.74,5150.0,24524.0,14.3,44.8,14.356234662480636,,5069.0
20000.84,5102.0,23140.0,15.3,45.9,14.655629419585175,20136.84,5072.0
,4998.0,22674.0,,44.8,,6750.6,4880.0
7943.88,5014.0,23420.0,9.0,45.2,13.582996336364234,8034.88,4995.0
2578.85,2542.0,11050.0,14.3,48.1,14.34092822038456,2661.85,2572.0
2478.01,2224.0,9979.0,16.3,,15.47567625519336,2598.01,2205.0
3301.92,2183.0,10768.0,12.8,36.0,11.539155563173205,3387.92,2150.0
3281.59,2400.0,11304.0,17.2,39.4,13.991838891137775,3328.59,2421.0
6004.64,2450.0,,,31.0,9.767861132874028,,2563.0
2553.36,2377.0,10868.0,18.3,29.0,8.671594752728911,2631.36,2354.0
2311.73,2381.0,10695.0,19.3,28.5,8.548814082796639,2389.73,2374.0
1201.25,2183.0,,,28.9,7.904351825278134,1295.25,2216.0
1089.74,2172.0,9713.0,21.4,28.6,7.8904231684858175,1168.74,2158.0
,2187.0,9819.0,22.9,41.3,12.0809491900816,1249.83,2179.0
,2223.0,9950.0,24.9,,,1396.92,2165.0
5632.66,2138.0,11672.0,21.6,48.1,14.206418737082661,5691.66,
2050.2,,10782.0,22.0,26.8,8.538806838324792,2165.2,2082.0
1180.08,2024.0,9819.0,26.4,23.8,7.944033400399741,1277.08,2034.0
1439.91,1931.0,9471.0,10.5,21.7,6.945542135467581,1508.91,1943.0
1959.33,1957.0,10031.0,11.5,21.7,7.339996972448662,2056.33,1991.0
4565.19,2137.0,10794.0,,19.7,8.053494755556606,4633.19,
1089.02,1920.0,9097.0,14.5,19.5,6.728125048382102,1200.02,1877.0
2162.2,2037.0,10080.0,15.4,69.3,21.115334080552298,2325.2,
,2199.0,10953.0,15.0,66.8,20.279406631687557,2423.5,2235.0
6003.43,,11557.0,25.8,66.8,20.270232690655853,,
1358.83,2171.0,10052.0,18.0,59.4,17.895874757421986,1460.83,2101.0
1175.64,2164.0,9777.0,20.0,55.6,16.6708128176163,1245.64,2241.0
,2008.0,9785.0,13.1,39.8,11.881900334355425,1132.02,2026.0
975.67,2039.0,9745.0,15.3,37.9,11.322489910694456,1064.67,2004.0
1171.54,,9933.0,6.3,25.9,8.320182957390086,1236.54,2130.0
3323.77,2079.0,10967.0,12.1,22.5,6.289850731314871,3425.77,2132.0
1151.12,2042.0,9687.0,13.8,23.0,,1258.12,1954.0
8808.34,2687.0,12281.0,11.9,66.0,,8865.34,2651.0
2127.32,2418.0,10362.0,14.5,57.7,17.852198744132334,2217.32,2407.0
4957.21,2427.0,11920.0,14.6,52.5,16.195421163608767,5000.21,2381.0
3475.69,2317.0,11133.0,12.9,48.2,15.663492586265686,3620.69,2304.0
8715.66,2554.0,13355.0,12.4,37.6,12.008242539559607,8770.66,2540.0
1869.44,2444.0,11008.0,15.4,26.8,,1972.44,2456.0
6576.74,2558.0,11884.0,14.3,,13.615110070147145,6672.74,2599.0
2417.08,2340.0,10486.0,10.8,37.5,11.040350235990402,2472.08,2345.0
6121.44,2610.0,11145.0,11.0,25.5,,,2643.0
1951.33,2330.0,10251.0,14.8,,10.855050028033547,2016.33,2392.0
1861.1,2321.0,10117.0,15.8,37.1,11.001237304150028,1973.1,2313.0
3231.41,2476.0,11431.0,10.5,40.1,12.459717314431966,,2480.0
2128.91,2450.0,10326.0,13.5,38.3,11.789378458784178,2231.91,2401.0
4674.08,2508.0,9988.0,13.6,,11.165203884290593,,2465.0
2144.73,2294.0,,14.9,35.2,,2323.73,2297.0
3712.19,2398.0,11805.0,12.6,36.2,11.361831816314757,3761.19,2420.0
2716.93,2443.0,10787.0,20.4,47.3,,2796.93,2404.0
3894.22,2579.0,11339.0,,38.6,12.676838021455598,,2558.0
4839.87,2655.0,11754.0,14.3,40.2,13.137347102398145,4957.87,2591.0
10209.41,2836.0,12311.0,,37.3,11.847404779106688,10258.41,2878.0
