day_of_week,hour,bike_rent
0,0,21419
0,1,16041
0,2,9752
0,3,6989
0,4,8669
0,5,14840
0,6,30902
0,7,79893
0,8,151980
0,9,81528
0,10,56156
0,11,75252
0,12,84642
0,13,92236
0,14,103707
0,15,123778
0,16,136659
0,17,187322
0,18,241809
0,19,154792
0,20,128637
0,21,120732
0,22,61891
0,23,36122
1,0,31725
1,1,24719
1,2,15777
1,3,11780
1,4,10737
1,5,16835
1,6,36714
1,7,93881
1,8,155177
1,9,48128
1,10,33681
1,11,48330
1,12,66076
1,13,76826
1,14,82754
1,15,57117
1,16,56590
1,17,94196
1,18,154905
1,19,105961
1,20,89938
1,21,90083
1,22,48754
1,23,31409
2,0,28764
2,1,22452
2,2,15308
2,3,10988
2,4,10752
2,5,17386
2,6,35156
2,7,86643
2,8,173154
2,9,92717
2,10,72755
2,11,97669
2,12,114544
2,13,121682
2,14,132292
2,15,148089
2,16,162431
2,17,213957
2,18,268974
2,19,159783
2,20,124650
2,21,126534
2,22,67841
2,23,43129
3,0,37464
3,1,27468
3,2,19243
3,3,14203
3,4,12082
3,5,19565
3,6,40082
3,7,106575
3,8,203399
3,9,96810
3,10,48160
3,11,64708
3,12,81158
3,13,81284
3,14,61271
3,15,62454
3,16,69209
3,17,91812
3,18,115199
3,19,72814
3,20,57274
3,21,55174
3,22,28840
3,23,21952
4,0,23160
4,1,20625
4,2,14147
4,3,11320
4,4,9495
4,5,14847
4,6,31669
4,7,79347
4,8,159291
4,9,87140
4,10,65778
4,11,85975
4,12,99906
4,13,95603
4,14,101731
4,15,112688
4,16,127775
4,17,181697
4,18,225486
4,19,144556
4,20,115082
4,21,117650
4,22,65799
4,23,44880
5,0,45108
5,1,36191
5,2,27288
5,3,17678
5,4,13707
5,5,13441
5,6,19177
5,7,31885
5,8,55569
5,9,62478
5,10,82560
5,11,112578
5,12,145227
5,13,170442
5,14,198097
5,15,224369
5,16,223419
5,17,197398
5,18,156841
5,19,119587
5,20,119676
5,21,127951
5,22,73416
5,23,49777
6,0,41797
6,1,32436
6,2,23579
6,3,15256
6,4,10815
6,5,10685
6,6,13670
6,7,25748
6,8,45995
6,9,65883
6,10,91682
6,11,125915
6,12,178427
6,13,233224
6,14,291064
6,15,325824
6,16,311569
6,17,260934
6,18,187783
6,19,151466
6,20,150784
6,21,138530
6,22,79033
6,23,51432
