index,age,gender,income,edu,city,smartphone,sns,movieNm,theaterNm,newspaper
448,26,1,1,5,1,1,1,0,0,1
2571,81,1,3,3,1,1,2,1,0,2
5730,49,1,5,6,1,1,1,2,0,2
8681,76,2,1,4,1,0,2,0,0,1
3527,58,2,1,4,1,1,1,5,0,1
8605,40,1,6,4,1,1,2,4,0,1
5915,13,2,1,3,1,1,1,4,1,2
2215,64,2,4,2,1,1,2,1,0,1
3696,58,1,7,5,1,1,1,2,0,1
472,26,2,9,5,1,1,1,6,0,2
5878,68,1,8,6,1,1,2,0,0,2
8523,64,2,1,3,1,1,2,0,0,2
8586,64,1,7,4,1,1,2,1,0,1
1454,50,2,1,5,1,1,1,10,0,1
6097,81,2,2,3,1,0,2,0,0,2
1992,57,1,10,4,1,1,1,0,0,1
3066,51,2,5,4,1,1,1,1,0,1
6443,39,1,7,5,1,1,1,5,1,1
8623,44,1,9,5,1,1,1,3,0,2
2333,61,1,5,4,1,1,2,0,0,2
1765,84,1,1,4,1,1,2,0,0,2
6424,60,2,1,4,1,1,2,3,0,1
3158,22,1,2,5,1,1,2,12,0,2
10311,25,2,7,5,1,1,1,3,3,1
2326,36,2,6,5,1,1,1,2,0,1
2035,65,1,9,3,1,1,2,10,0,1
8285,48,1,7,5,1,1,1,0,0,2
4507,55,1,6,5,1,1,1,0,0,1
6548,82,1,3,2,2,1,2,0,0,2
5660,58,2,5,3,2,1,2,0,0,1
9482,50,2,4,5,1,1,1,1,1,1
1635,43,2,6,4,1,1,1,3,0,1
8806,61,1,7,4,1,1,1,2,0,2
4919,49,2,1,4,1,1,2,8,0,2
4991,14,1,1,3,1,1,1,4,0,2
1718,55,2,5,4,1,1,2,1,1,1
10233,20,1,4,4,1,1,1,4,0,1
9971,57,2,6,4,1,1,2,4,0,1
6024,20,2,1,5,1,1,1,12,2,2
978,26,1,5,5,1,1,1,3,0,2
5063,39,1,9,5,1,1,1,6,0,1
8677,23,2,4,6,1,1,1,10,0,1
9243,28,2,6,5,1,1,1,6,5,1
1517,82,1,2,2,1,0,2,0,0,2
852,45,2,1,4,1,1,2,3,0,1
7711,63,2,1,2,2,1,2,0,0,2
3346,53,1,9,4,1,1,2,5,0,1
7559,47,2,1,4,1,1,1,2,0,1
7928,63,1,2,4,1,1,2,0,0,1
8341,44,1,7,4,1,1,1,4,1,1
8651,10,1,1,2,1,0,2,5,1,2
10611,56,2,1,4,1,1,2,5,0,1
64,47,1,8,5,1,1,2,4,0,1
8945,47,1,12,5,1,1,1,12,0,2
8270,45,1,10,5,1,1,1,8,0,1
20,40,1,8,5,1,1,1,2,1,1
7613,79,2,1,2,1,0,2,0,0,2
5539,80,1,3,3,2, ,2,0,0,2
10824,34,2,1,5,1,1,1,4,0,1
972,65,2,2,3,1,1,2,0,0,2
4573,14,1,1,3,1,1,1,2,0,2
4493,52,1,6,5,1,1,2,2,0,1
702,14,2,1,3,1,1,1,7,0,2
1984,18,2,1,5,1,1,1,20,3,2
9982,10,2,1,2,1,1,1,0,0,2
4158,72,1,4,4,1,1,2,0,0,2
2703,49,2,4,5,1,1,2,1,0,2
2862,32,1,13,6,1,1,1,2,0,1
9312,29,2,8,5,1,1,1,10,1,1
1860,55,1,6,4,1,1,1,5,0,1
1935,42,2,5,5,1,1,1,6,0,1
2512,83,2,2,2,2, ,2,0,0,2
2876,43,2,8,4,1,1,2,1,0,1
9967,46,2,1,4,1,1,2,3,0,1
4305,55,1,8,5,1,1,1,1,0,1
10108,67,2,9,3,1,1,2,10,1,2
8489,30,2,1,6,1,1,1,6,6,1
5870,69,1,2,2,1, ,2,0,0,2
9498,48,2,5,5,1,1,2,1,0,1
4983,43,2,1,5,1,1,1,2,1,1
5719,14,2,1,3,1,1,1,1,0,2
1218,43,1,6,4,1,1,2,6,0,1
6658,31,1,6,5,1,1,1,1,1,1
7506,71,2,1,3,1,1,2,0,0,2
7877,59,1,7,2,2,0,2,0,0,2
4524,30,1,10,5,1,1,2,4,0,1
2738,58,2,1,4,1,0,2,0,0,2
4349,64,1,5,4,1,1,2,2,0,1
409,60,2,1,4,1,1,2,2,0,1
632,20,1,1,5,1,1,2,3,2,2
9443,55,2,1,5,1,1,2,0,0,1
9619,70,2,1,3,1,0,2,0,0,2
2688,26,1,1,5,1,1,1,3,0,2
7399,15,1,1,3,1,1,1,10,0,2
4361,52,2,1,3,1, ,2,0,0,2
1251,52,1,8,4,1,1,1,0,0,1
390,10,2,1,2,1, ,2,0,0,2
1767,75,1,4,3,1,0,2,0,0,2
4425,56,1,10,5,1,1,2,2,0,1
9292,7,1,1,2,1,1,2,1,0,2
3513,54,1,5,4,1,1,1,2,0,1
7954,74,1,2,4,1,1,2,0,0,2
5566,79,2,2,2,2, ,2,0,0,2
2222,49,2,1,5,1,1,1,3,0,2
606,67,2,1,3,1,1,2,0,0,2
9736,47,1,5,4,1,1,1,0,0,2
3033,71,2,2,3,1,0,2,0,0,2
5840,62,2,1,3,2,1,2,0,0,2
1329,42,2,1,4,1,1,2,3,0,1
9511,45,2,6,5,1,1,1,2,0,2
