date,audiCnt,scrnCnt,showCnt,avgRels,maxShare,rain,temp
1/1/10,6492.235,12785,61400,13.3,44.9,0,-4.9
1/2/10,2538.574,5150,24524,14.3,44.8,0.8,-0.1
1/3/10,2000.084,5102,23140,15.3,45.9,0,-2.9
1/4/10,668.868,4810,21522,12,53.4,5.9,-1.8
1/5/10,650.058,4768,21196,16,51.3,0.7,-5.2
1/6/10,599.78,4822,21316,13.5,50.7,0.3,-7.3
1/7/10,665.06,4998,22674,8,44.8,0,-6.7
1/8/10,794.388,5014,23420,9,45.2,0,-5.6
1/9/10,1874.984,5466,24388,10.2,41.8,0.1,-3.1
1/10/10,1782.028,5456,23452,11,42.3,0,-1.3
1/11/10,599.588,4882,21544,15.5,50.3,0,-1.5
1/12/10,604.48,4902,21552,13.4,49.4,0.4,-5
1/13/10,569.598,5110,22150,11.4,47.9,0.7,-8.3
1/14/10,595.158,4996,22446,10.3,45.4,0.1,-6.4
1/15/10,725.41,5076,23466,11.3,45.1,0.1,-2.6
1/16/10,1698.612,5378,24854,12.3,40.4,0,-4.1
1/17/10,785.006,2662,11911,13.3,40.4,0,-3.1
1/18/10,257.885,2542,11050,14.3,48.1,0,-0.4
1/19/10,253.641,2533,10743,15.3,46.6,0.3,3.6
1/20/10,251.334,2607,10595,15.1,45.7,10.8,8
1/21/10,274.116,2201,10199,12.3,40.6,3.1,1.3
1/22/10,312.137,2211,10589,13.3,42.1,0,-3.1
1/23/10,738.304,2344,11212,14.3,39.4,0.1,-2.7
1/24/10,709.254,2334,10770,15.3,41.6,0,0.4
1/25/10,247.801,2224,9979,16.3,52.1,0,0.8
1/26/10,250.518,2143,9721,14.8,50.3,0,-2.3
1/27/10,230.961,2155,9635,15.6,51.3,6.5,1.3
1/28/10,330.192,2183,10768,12.8,36,0.1,3.5
1/29/10,374.135,2190,11195,13.8,38.1,0,0.2
1/30/10,774.137,2394,11752,14.8,34.6,0,1.9
1/31/10,717.26,2386,11395,16.6,35,0,3
2/1/10,256.096,2237,10512,16.8,39.9,0.2,2.2
2/2/10,246.881,2231,10376,17.8,37.8,0,-2
2/3/10,233.46,2250,10386,19.6,36.3,0,-4.9
2/4/10,291.59,2309,10700,14.7,38.2,0.1,-2.9
2/5/10,328.159,2400,11304,17.2,39.4,0,-1.8
2/6/10,719.502,2499,12007,17.6,38.6,0,-2.6
2/7/10,693.897,2463,11288,18.6,37.9,0.1,1.2
2/8/10,231.488,2304,10319,19.5,41.6,2.7,4.9
2/9/10,240.53,2321,10344,20.5,43.3,6.9,5.6
2/10/10,254.48,2350,10563,21.6,43.6,9,5.1
2/11/10,379.83,2451,12115,9.1,28.3,17.3,2.4
2/12/10,567.422,2480,12864,10.1,30.2,3.1,0.7
2/13/10,797.326,2609,13282,11.1,29.2,1.9,-0.7
2/14/10,887.871,2620,13141,12.1,31.3,0,-1.2
2/15/10,1224.018,2641,13008,13.1,29.5,0.1,-0.5
2/16/10,600.464,2450,12215,15.5,31,0.6,-1.6
2/17/10,333.497,2474,11877,15.1,32.7,0.4,-1.2
2/18/10,313.549,2387,11081,13.3,29.8,0.5,-1.1
2/19/10,351.02,2472,11644,14.3,30.9,0.1,-0.6
2/20/10,781.682,2490,12189,15.3,30.5,0,2.2
2/21/10,685.234,2465,11605,16.3,30.4,0,3.7
2/22/10,255.554,2365,10871,17.3,29.8,0,5.2
2/23/10,255.336,2377,10868,18.3,29,0,6.4
2/24/10,231.173,2381,10695,19.3,28.5,0,11.2
2/25/10,245.552,2213,11050,15.4,26,33.4,13.4
2/26/10,272.156,2241,11470,16.4,27.1,4.1,9.4
2/27/10,540.734,2336,12227,17.4,28.8,1.5,6.3
2/28/10,650.085,2322,12204,18.4,29.5,0.1,7.1
3/1/10,654.112,2315,11666,19.4,28,15.6,5.4
3/2/10,120.125,2183,9934,20.4,28.9,0.3,4.2
3/3/10,108.974,2172,9713,21.4,28.6,0,5.2
3/4/10,154.521,2221,10197,18.9,46.5,3.9,5.9
3/5/10,195.22,2224,10829,19.9,46.2,3.8,6.9
3/6/10,526.61,2305,11788,20.9,46.4,3.3,5.5
3/7/10,542.06,2283,11368,21.9,48.5,0.9,4.2
3/8/10,119.883,2187,9819,22.9,41.3,0.9,3.8
3/9/10,113.045,2178,9688,23.9,39.8,5.7,2.3
3/10/10,130.692,2223,9950,24.9,40.5,3.9,-0.3
3/11/10,123.954,2007,9901,19.6,32.7,0,3
3/12/10,176.336,2027,10548,20.6,36.4,0,8.3
3/13/10,563.266,2138,11672,21.6,48.1,0,6.1
3/14/10,528.797,2136,11170,22.6,45.4,1.1,8
3/15/10,115.016,2023,9804,23.6,30.6,16.5,9.4
3/16/10,102.981,2023,9560,24.6,30.8,0,3.2
3/17/10,100.383,2026,9400,25.6,31.2,1.1,2.4
3/18/10,161.205,2035,10302,21,26.3,2.3,2.1
3/19/10,205.02,2058,10782,22,26.8,0,6
3/20/10,530.042,2154,11820,23,26.7,1,10.9
3/21/10,532.39,2136,11337,24,30.4,0,4.7
3/22/10,118.008,2024,9819,26.4,23.8,2,4.4
3/23/10,127.806,2022,9784,27.4,23.4,2.4,7
3/24/10,123.103,2025,9668,28.4,23.1,0.1,8.3
3/25/10,143.991,1931,9471,10.5,21.7,4.6,5.1
3/26/10,195.933,1957,10031,11.5,21.7,0,3.2
3/27/10,520.853,2166,11353,11.8,21.1,0.9,5.6
3/28/10,456.519,2137,10794,12.8,19.7,0,6.2
3/29/10,108.902,1920,9097,14.5,19.5,0,5.6
3/30/10,115.266,1934,8963,21.1,18.6,0,7.8
3/31/10,139.478,1897,9143,15.3,19.1,18.8,8.8
4/1/10,216.22,2037,10080,15.4,69.3,15.8,8.9
4/2/10,233.55,2199,10953,15,66.8,0,7.3
4/3/10,600.343,2216,11557,25.8,66.8,0,6.2
4/4/10,552.388,2160,11024,26.8,66.9,0,8.4
4/5/10,135.883,2171,10052,18,59.4,0,11.9
4/6/10,120.672,2014,9581,19.4,56.3,0.1,10
4/7/10,117.564,2164,9777,20,55.6,0.1,6.9
4/8/10,125.473,2040,10171,8.4,46,0,8.5
4/9/10,180.842,2085,10890,12.2,47.3,0,11.5
