rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,date
1,1,0,OLD,20176103,돈,2019-03-20,615229510,34.0,-1403378550,-69.5,23409444572,78882,-149409,-65.4,2748519,1082,5258,2019-04-01
2,2,0,OLD,20185352,어스,2019-03-27,599350720,33.1,-1392242130,-69.9,8498894625,73248,-145371,-66.5,1009675,1028,4853,2019-04-01
3,3,2,OLD,20183773,장난스런 키스,2019-03-27,160760250,8.9,-257657790,-61.6,1534765918,20766,-30241,-59.3,193705,491,1257,2019-04-01
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,150846810,8.3,-423350630,-73.7,49425579053,19069,-48118,-71.6,5560020,557,1718,2019-04-01
5,5,-2,OLD,20196025,덤보,2019-03-27,91770550,5.1,-576289690,-86.3,1808738802,11698,-68889,-85.5,224534,565,1504,2019-04-01
6,6,0,OLD,20197846,악질경찰,2019-03-20,23995780,1.3,-32240330,-57.3,2219241578,3091,-3288,-51.5,257540,305,461,2019-04-01
7,7,0,NEW,20180825,미성년,2019-04-11,27810000,1.5,27810000,100,27810000,3090,3090,100,3090,9,9,2019-04-01
8,8,0,OLD,20198146,콜레트,2019-03-27,23511590,1.3,-20689470,-46.8,207461801,3055,-1973,-39.2,25396,161,271,2019-04-01
9,9,-2,OLD,20166301,썬키스 패밀리,2019-03-27,16788700,0.9,-27780010,-62.3,221244570,2254,-2956,-56.7,28340,349,561,2019-04-01
10,10,-1,OLD,20197987,더 길티,2019-03-27,16031700,0.9,-21286300,-57,199834300,1939,-2058,-51.5,24030,106,245,2019-04-01
1,1,0,OLD,20176103,돈,2019-03-20,489802630,32.7,-125426880,-20.4,23899247202,61621,-17261,-21.9,2810140,1082,5189,2019-04-02
2,2,0,OLD,20185352,어스,2019-03-27,453415500,30.3,-145935220,-24.3,8952310125,54393,-18855,-25.7,1064068,1015,4714,2019-04-02
3,3,0,OLD,20183773,장난스런 키스,2019-03-27,130563990,8.7,-30196260,-18.8,1665329908,16164,-4602,-22.2,209869,503,1256,2019-04-02
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,121974490,8.1,-28872320,-19.1,49547553543,15197,-3872,-20.3,5575217,562,1692,2019-04-02
5,5,0,OLD,20196025,덤보,2019-03-27,72749740,4.9,-19020810,-20.7,1881488542,8960,-2738,-23.4,233494,547,1381,2019-04-02
6,6,14,OLD,20197092,로망,2019-04-03,37084000,2.5,33967000,1089.7,98789500,4421,4064,1138.4,11150,24,24,2019-04-02
7,7,1,OLD,20198146,콜레트,2019-03-27,25121250,1.7,1609660,6.8,232583051,3259,204,6.7,28655,155,269,2019-04-02
8,8,-2,OLD,20197846,악질경찰,2019-03-20,19908900,1.3,-4086880,-17,2239150478,2596,-495,-16,260136,291,440,2019-04-02
9,9,0,NEW,20196244,샤잠!,2019-04-03,24729000,1.7,24729000,100,37454000,2385,2385,100,3187,9,9,2019-04-02
10,10,-1,OLD,20166301,썬키스 패밀리,2019-03-27,16381530,1.1,-407170,-2.4,237626100,2221,-33,-1.5,30561,344,547,2019-04-02
1,1,8,OLD,20196244,샤잠!,2019-04-03,721173930,34.9,696444930,2816.3,758627930,86809,84424,3539.8,89996,1132,5199,2019-04-03
2,2,0,NEW,20183096,생일,2019-04-03,357545220,17.3,357545220,100,450732220,45516,45516,100,55927,852,3735,2019-04-03
3,3,-2,OLD,20176103,돈,2019-03-20,329226320,15.9,-160576310,-32.8,24228473522,41265,-20356,-33,2851405,668,2595,2019-04-03
4,4,-2,OLD,20185352,어스,2019-03-27,313312250,15.2,-140103250,-30.9,9265622375,37751,-16642,-30.6,1101819,612,2232,2019-04-03
5,5,-2,OLD,20183773,장난스런 키스,2019-03-27,83132960,4.0,-47431030,-36.3,1748462868,10495,-5669,-35.1,220364,294,495,2019-04-03
6,6,0,OLD,20197092,로망,2019-04-03,61761990,3.0,24677990,66.5,160551490,8814,4393,99.4,19964,405,916,2019-04-03
7,7,-3,OLD,20181877,캡틴 마블,2019-03-06,61678610,3.0,-60295880,-49.4,49609232153,7681,-7516,-49.5,5582898,342,667,2019-04-03
8,8,-3,OLD,20196025,덤보,2019-03-27,22696080,1.1,-50053660,-68.8,1904184622,2863,-6097,-68,236357,257,355,2019-04-03
9,9,5,OLD,20198104,바이스,2019-04-11,20384000,1.0,14593000,252,45268600,2548,1747,218.1,5515,11,11,2019-04-03
10,10,3,OLD,20197483,1919 유관순,2019-03-14,17639000,0.9,8803000,99.6,419613410,2205,1101,99.7,50515,9,16,2019-04-03
1,1,0,OLD,20196244,샤잠!,2019-04-03,462145160,27.3,-259028770,-35.9,1220773090,55807,-31002,-35.7,145803,1141,5072,2019-04-04
2,2,0,OLD,20183096,생일,2019-04-03,341995800,20.2,-15549420,-4.3,792728020,43517,-1999,-4.4,99444,847,3537,2019-04-04
3,3,0,OLD,20176103,돈,2019-03-20,291111550,17.2,-38114770,-11.6,24519585072,35902,-5363,-13,2887307,686,2585,2019-04-04
4,4,0,OLD,20185352,어스,2019-03-27,269019160,15.9,-44293090,-14.1,9534641535,32093,-5658,-15,1133912,621,2162,2019-04-04
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,78418600,4.6,-4714360,-5.7,1826881468,9726,-769,-7.3,230090,342,570,2019-04-04
6,6,1,OLD,20181877,캡틴 마블,2019-03-06,61913140,3.7,234530,0.4,49671145293,7670,-11,-0.1,5590568,340,643,2019-04-04
7,7,-1,OLD,20197092,로망,2019-04-03,45966370,2.7,-15795620,-25.6,206517860,6349,-2465,-28,26313,402,881,2019-04-04
8,8,0,OLD,20196025,덤보,2019-03-27,22547720,1.3,-148360,-0.7,1926732342,3036,173,6,239393,248,327,2019-04-04
9,9,0,OLD,20198104,바이스,2019-04-11,14360000,0.8,-6024000,-29.6,59628600,1795,-753,-29.6,7310,12,12,2019-04-04
10,10,0,NEW,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,12304850,0.7,12304850,100,12304850,1572,1572,100,1572,31,48,2019-04-04
1,1,0,OLD,20196244,샤잠!,2019-04-03,642406652,26.3,180261492,39,1863179742,70676,14869,26.6,216479,1148,5152,2019-04-05
2,2,0,OLD,20183096,생일,2019-04-03,495459368,20.2,153463568,44.9,1288187388,57313,13796,31.7,156757,862,3575,2019-04-05
3,3,0,OLD,20176103,돈,2019-03-20,423834434,17.3,132722884,45.6,24943419506,47658,11756,32.7,2934965,709,2719,2019-04-05
4,4,0,OLD,20185352,어스,2019-03-27,434056128,17.7,165036968,61.3,9968697663,47592,15499,48.3,1181504,658,2293,2019-04-05
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,142786590,5.8,64367990,82.1,1969668058,16465,6739,69.3,246555,383,701,2019-04-05
6,6,0,OLD,20181877,캡틴 마블,2019-03-06,99730250,4.1,37817110,61.1,49770875543,11038,3368,43.9,5601606,371,703,2019-04-05
7,7,0,OLD,20197092,로망,2019-04-03,44978760,1.8,-987610,-2.1,251496620,5665,-684,-10.8,31978,383,775,2019-04-05
8,8,0,OLD,20196025,덤보,2019-03-27,27821330,1.1,5273610,23.4,1954553672,3380,344,11.3,242773,268,361,2019-04-05
9,9,0,OLD,20198104,바이스,2019-04-11,21078000,0.9,6718000,46.8,80706600,2342,547,30.5,9652,12,12,2019-04-05
10,10,9,OLD,20198043,아픈 만큼 사랑한다,2019-04-03,14542100,0.6,10347100,246.7,38289800,1769,1225,225.2,4609,115,145,2019-04-05
1,1,0,OLD,20196244,샤잠!,2019-04-03,1442450799,27.8,800044147,124.5,3305630541,159700,89024,126,376179,1125,5252,2019-04-06
2,2,0,OLD,20183096,생일,2019-04-03,983277413,18.9,487818045,98.5,2271464801,113329,56016,97.7,270086,856,3652,2019-04-06
3,3,0,OLD,20176103,돈,2019-03-20,897816456,17.3,473982022,111.8,25841235962,99663,52005,109.1,3034628,747,2903,2019-04-06
4,4,0,OLD,20185352,어스,2019-03-27,866234771,16.7,432178643,99.6,10834932434,95397,47805,100.4,1276901,712,2464,2019-04-06
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,315510970,6.1,172724380,121,2285179028,37263,20798,126.3,283818,433,899,2019-04-06
6,6,2,OLD,20196025,덤보,2019-03-27,219028530,4.2,191207200,687.3,2173582202,27043,23663,700.1,269816,509,876,2019-04-06
7,7,-1,OLD,20181877,캡틴 마블,2019-03-06,238635000,4.6,138904750,139.3,50009510543,26649,15611,141.4,5628255,407,780,2019-04-06
