date,audiCnt,scrnCnt,showCnt,avgRels,maxShare,year,month,day,rain,temp
2010-01-01,6492.235,12785,61400,13.3,44.9,2010,1,4,0.0,-4.9
2010-01-02,2538.574,5150,24524,14.3,44.8,2010,1,5,0.8,-0.1
2010-01-03,2000.084,5102,23140,15.3,45.9,2010,1,6,0.0,-2.9
2010-01-04,668.868,4810,21522,12.0,53.4,2010,1,0,5.9,-1.8
2010-01-05,650.058,4768,21196,16.0,51.3,2010,1,1,0.7,-5.2
2010-01-06,599.78,4822,21316,13.5,50.7,2010,1,2,0.3,-7.3
2010-01-07,665.06,4998,22674,8.0,44.8,2010,1,3,0.0,-6.7
2010-01-08,794.388,5014,23420,9.0,45.2,2010,1,4,0.0,-5.6
2010-01-09,1874.984,5466,24388,10.2,41.8,2010,1,5,0.1,-3.1
2010-01-10,1782.028,5456,23452,11.0,42.3,2010,1,6,0.0,-1.3
2010-01-11,599.588,4882,21544,15.5,50.3,2010,1,0,0.0,-1.5
2010-01-12,604.48,4902,21552,13.4,49.4,2010,1,1,0.4,-5.0
2010-01-13,569.598,5110,22150,11.4,47.9,2010,1,2,0.7,-8.3
2010-01-14,595.158,4996,22446,10.3,45.4,2010,1,3,0.1,-6.4
2010-01-15,725.41,5076,23466,11.3,45.1,2010,1,4,0.1,-2.6
2010-01-16,1698.612,5378,24854,12.3,40.4,2010,1,5,0.0,-4.1
2010-01-17,785.006,2662,11911,13.3,40.4,2010,1,6,0.0,-3.1
2010-01-18,257.885,2542,11050,14.3,48.1,2010,1,0,0.0,-0.4
2010-01-19,253.641,2533,10743,15.3,46.6,2010,1,1,0.3,3.6
2010-01-20,251.334,2607,10595,15.1,45.7,2010,1,2,10.8,8.0
2010-01-21,274.116,2201,10199,12.3,40.6,2010,1,3,3.1,1.3
2010-01-22,312.137,2211,10589,13.3,42.1,2010,1,4,0.0,-3.1
2010-01-23,738.304,2344,11212,14.3,39.4,2010,1,5,0.1,-2.7
2010-01-24,709.254,2334,10770,15.3,41.6,2010,1,6,0.0,0.4
2010-01-25,247.801,2224,9979,16.3,52.1,2010,1,0,0.0,0.8
2010-01-26,250.518,2143,9721,14.8,50.3,2010,1,1,0.0,-2.3
2010-01-27,230.961,2155,9635,15.6,51.3,2010,1,2,6.5,1.3
2010-01-28,330.192,2183,10768,12.8,36.0,2010,1,3,0.1,3.5
2010-01-29,374.135,2190,11195,13.8,38.1,2010,1,4,0.0,0.2
2010-01-30,774.137,2394,11752,14.8,34.6,2010,1,5,0.0,1.9
2010-01-31,717.26,2386,11395,16.6,35.0,2010,1,6,0.0,3.0
2010-02-01,256.096,2237,10512,16.8,39.9,2010,2,0,0.2,2.2
2010-02-02,246.881,2231,10376,17.8,37.8,2010,2,1,0.0,-2.0
2010-02-03,233.46,2250,10386,19.6,36.3,2010,2,2,0.0,-4.9
2010-02-04,291.59,2309,10700,14.7,38.2,2010,2,3,0.1,-2.9
2010-02-05,328.159,2400,11304,17.2,39.4,2010,2,4,0.0,-1.8
2010-02-06,719.502,2499,12007,17.6,38.6,2010,2,5,0.0,-2.6
2010-02-07,693.897,2463,11288,18.6,37.9,2010,2,6,0.1,1.2
2010-02-08,231.488,2304,10319,19.5,41.6,2010,2,0,2.7,4.9
2010-02-09,240.53,2321,10344,20.5,43.3,2010,2,1,6.9,5.6
2010-02-10,254.48,2350,10563,21.6,43.6,2010,2,2,9.0,5.1
2010-02-11,379.83,2451,12115,9.1,28.3,2010,2,3,17.3,2.4
2010-02-12,567.422,2480,12864,10.1,30.2,2010,2,4,3.1,0.7
2010-02-13,797.326,2609,13282,11.1,29.2,2010,2,5,1.9,-0.7
2010-02-14,887.871,2620,13141,12.1,31.3,2010,2,6,0.0,-1.2
2010-02-15,1224.018,2641,13008,13.1,29.5,2010,2,0,0.1,-0.5
2010-02-16,600.464,2450,12215,15.5,31.0,2010,2,1,0.6,-1.6
2010-02-17,333.497,2474,11877,15.1,32.7,2010,2,2,0.4,-1.2
2010-02-18,313.549,2387,11081,13.3,29.8,2010,2,3,0.5,-1.1
2010-02-19,351.02,2472,11644,14.3,30.9,2010,2,4,0.1,-0.6
2010-02-20,781.682,2490,12189,15.3,30.5,2010,2,5,0.0,2.2
2010-02-21,685.234,2465,11605,16.3,30.4,2010,2,6,0.0,3.7
2010-02-22,255.554,2365,10871,17.3,29.8,2010,2,0,0.0,5.2
