rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange,audiCnt,audiAcc,scrnCnt,showCnt
1,0,NEW,4/1/2020,20205262,48850700,19.3,100,6165,6165,175,509
2,-1,OLD,4/1/2020,20204107,31798560,12.6,-35.7,4105,55718,346,730
3,-1,OLD,4/1/2020,20192399,30146760,11.9,-27.4,3745,718672,341,589
4,-1,OLD,4/1/2020,20199842,19394760,7.7,-37.8,2373,545382,296,489
5,0,NEW,4/1/2020,20206446,17246100,6.8,100,2148,2212,157,335
6,-1,OLD,4/1/2020,20205708,15915760,6.3,-4.2,1893,32067,209,416
7,2,OLD,4/1/2020,20190280,14284000,5.7,43.2,1439,671550,19,34
8,-2,OLD,4/1/2020,20167904,8691000,3.4,-27.6,1091,3627999,85,202
9,2,OLD,4/1/2020,20161872,8918000,3.5,14.1,892,3723986,15,23
10,-6,OLD,4/1/2020,20204791,6237920,2.5,-65.4,806,123686,143,188
1,0,OLD,4/2/2020,20205262,37959900,17.6,-22.3,4799,10964,170,503
2,0,OLD,4/2/2020,20204107,22042740,10.2,-30.7,2791,58509,323,598
3,72,OLD,4/2/2020,20205841,22488080,10.4,39701.9,2714,2854,275,528
4,-1,OLD,4/2/2020,20192399,20863300,9.7,-30.8,2591,721263,307,481
5,-1,OLD,4/2/2020,20199842,13484660,6.3,-30.5,1633,547015,245,379
6,29,OLD,4/2/2020,20204340,10647360,4.9,1094.4,1378,18142,23,28
7,-2,OLD,4/2/2020,20206446,10624400,4.9,-38.4,1276,3488,157,307
8,-2,OLD,4/2/2020,20205708,9472920,4.4,-40.5,1139,33206,178,311
9,-1,OLD,4/2/2020,20167904,7244080,3.4,-16.6,909,3628908,80,166
10,0,NEW,4/2/2020,20205321,6237000,2.9,100,765,765,55,84
1,0,OLD,4/3/2020,20205262,37700100,17.6,-0.7,4280,15244,175,504
2,0,OLD,4/3/2020,20204107,24781500,11.6,12.4,2901,61410,319,590
3,1,OLD,4/3/2020,20192399,24121320,11.2,15.6,2784,724047,313,503
4,-1,OLD,4/3/2020,20205841,17390260,8.1,-22.7,1956,4810,256,476
5,0,OLD,4/3/2020,20199842,15347560,7.2,13.8,1693,548708,252,399
6,1,OLD,4/3/2020,20206446,12748200,5.9,20,1389,4877,155,332
7,1,OLD,4/3/2020,20205708,10280240,4.8,8.5,1131,34337,183,300
8,1,OLD,4/3/2020,20167904,8337340,3.9,15.1,960,3629868,77,171
9,14,OLD,4/3/2020,20180962,6966380,3.2,356.7,772,621719,52,68
10,3,OLD,4/3/2020,20204791,3188300,1.5,8.4,371,124428,88,109
1,0,OLD,4/4/2020,20205262,75121500,20,99.3,8288,23532,199,618
2,1,OLD,4/4/2020,20192399,51792600,13.8,114.7,5681,729728,362,638
3,-1,OLD,4/4/2020,20204107,44614800,11.9,80,5010,66420,352,718
4,1,OLD,4/4/2020,20199842,32247140,8.6,110.1,3453,552161,280,497
5,1,OLD,4/4/2020,20206446,27768800,7.4,117.8,2906,7783,171,396
6,-2,OLD,4/4/2020,20205841,26260580,7,51,2843,7653,294,549
7,0,OLD,4/4/2020,20205708,18317220,4.9,78.2,1947,36284,207,376
8,0,OLD,4/4/2020,20167904,14496240,3.9,73.9,1618,3631486,89,196
9,1,OLD,4/4/2020,20204791,6257460,1.7,96.3,721,125149,119,150
10,4,OLD,4/4/2020,20010013,2952000,0.8,82.8,551,7482,46,77
1,0,OLD,4/5/2020,20205262,68939900,20.7,-8.2,7576,31108,206,618
2,0,OLD,4/5/2020,20192399,47927660,14.4,-7.5,5213,734941,358,641
3,0,OLD,4/5/2020,20204107,31395960,9.4,-29.6,3509,69929,347,704
4,0,OLD,4/5/2020,20199842,28839040,8.7,-10.6,3076,555237,276,478
5,0,OLD,4/5/2020,20206446,23999000,7.2,-13.6,2520,10303,164,381
6,0,OLD,4/5/2020,20205841,21810200,6.5,-16.9,2362,10015,269,486
7,0,OLD,4/5/2020,20205708,16469680,4.9,-10.1,1759,38043,212,365
8,0,OLD,4/5/2020,20167904,12796580,3.8,-11.7,1412,3632898,92,196
9,0,OLD,4/5/2020,20204791,4963840,1.5,-20.7,569,125718,118,157
10,2,OLD,4/5/2020,20190280,5390000,1.6,14.4,562,672723,7,13
1,0,OLD,4/6/2020,20205262,22566000,18,-67.3,2718,33826,183,487
2,0,OLD,4/6/2020,20192399,16334300,13.1,-65.9,1907,736848,310,497
3,0,OLD,4/6/2020,20204107,11457240,9.2,-63.5,1412,71341,281,486
4,0,OLD,4/6/2020,20199842,10793240,8.6,-62.6,1302,556539,234,346
5,0,OLD,4/6/2020,20206446,9200500,7.4,-61.7,1096,11399,145,287
6,0,OLD,4/6/2020,20205841,8002080,6.4,-63.3,976,10991,204,321
7,0,OLD,4/6/2020,20205708,6321960,5.1,-61.6,745,38788,158,233
8,0,OLD,4/6/2020,20167904,5170740,4.1,-59.6,631,3633529,77,156
9,0,NEW,4/6/2020,20205902,4689000,3.7,100,521,585,6,6
10,4,OLD,4/6/2020,20010013,1159000,0.9,-46.9,228,8144,41,68
1,0,OLD,4/7/2020,20205262,20405100,16.7,-9.6,2472,36298,181,484
2,0,OLD,4/7/2020,20192399,13852600,11.3,-15.2,1680,738528,299,474
3,0,OLD,4/7/2020,20204107,11035360,9,-3.7,1346,72687,273,474
4,0,OLD,4/7/2020,20199842,9539260,7.8,-11.6,1123,557662,225,325
5,0,OLD,4/7/2020,20206446,9143500,7.5,-0.6,1085,12484,146,294
6,0,OLD,4/7/2020,20205841,7926840,6.5,-0.9,949,11940,205,323
7,1,OLD,4/7/2020,20167904,5720260,4.7,10.6,705,3634234,78,160
8,-1,OLD,4/7/2020,20205708,5922460,4.8,-6.3,700,39488,159,233
9,0,OLD,4/7/2020,20205902,4689000,3.8,0,521,1106,6,6
10,2,OLD,4/7/2020,20204791,2160080,1.8,38.3,274,126184,85,98
1,0,OLD,4/8/2020,20205262,20587000,14,0.9,2476,38774,188,484
2,0,OLD,4/8/2020,20192399,16615280,11.3,19.9,2009,740537,309,531
3,0,NEW,4/8/2020,20206402,14680700,10,100,1760,1760,155,346
4,-1,OLD,4/8/2020,20204107,11770380,8,6.7,1419,74106,265,460
5,4,OLD,4/8/2020,20205902,8954360,6.1,91,1138,2244,240,358
6,-2,OLD,4/8/2020,20199842,9098400,6.2,-4.6,1075,558737,208,311
7,-2,OLD,4/8/2020,20206446,8802000,6,-3.7,1025,13509,145,289
8,-2,OLD,4/8/2020,20205841,7045980,4.8,-11.1,853,12793,189,281
9,-2,OLD,4/8/2020,20167904,4081180,2.8,-28.7,784,3635018,84,176
10,-2,OLD,4/8/2020,20205708,5136200,3.5,-13.3,597,40085,125,177
1,0,OLD,4/9/2020,20205262,18605200,13,-9.6,2232,41006,177,461
2,0,OLD,4/9/2020,20192399,16095480,11.3,-3.1,1938,742475,305,518
3,0,OLD,4/9/2020,20206402,12133200,8.5,-17.4,1448,3208,145,321
4,0,OLD,4/9/2020,20204107,10559640,7.4,-10.3,1278,75384,255,414
5,1,OLD,4/9/2020,20199842,7415920,5.2,-18.5,883,559620,208,282
6,1,OLD,4/9/2020,20206446,7337700,5.1,-16.6,861,14370,129,261
7,2,OLD,4/9/2020,20167904,3411400,2.4,-16.4,646,3635664,70,145
8,-3,OLD,4/9/2020,20205902,4850420,3.4,-45.8,620,2864,198,279
9,-1,OLD,4/9/2020,20205841,4181120,2.9,-40.7,492,13285,140,181
10,2,OLD,4/9/2020,20205190,3972080,2.8,87.3,490,940,121,151
1,1,OLD,4/10/2020,20192399,22687060,14.2,41,2530,745005,329,569
2,-1,OLD,4/10/2020,20205262,21897500,13.7,17.7,2438,43444,180,474
3,0,OLD,4/10/2020,20206402,14036400,8.8,15.7,1511,4719,155,320
4,0,OLD,4/10/2020,20204107,13463160,8.5,27.5,1499,76883,261,445
5,0,OLD,4/10/2020,20199842,10499960,6.6,41.6,1117,560737,204,296
6,0,OLD,4/10/2020,20206446,8644900,5.4,17.8,915,15285,133,273
7,0,OLD,4/10/2020,20167904,4215820,2.6,23.6,780,3636444,80,166
8,0,OLD,4/10/2020,20205902,5328720,3.3,9.9,611,3475,185,255
9,4,OLD,4/10/2020,20128588,2603500,1.6,26.8,518,47670,30,48
10,0,OLD,4/10/2020,20205190,4920280,3.1,23.9,490,1430,105,133
1,0,OLD,4/11/2020,20192399,64475940,18.6,184.2,7036,752041,360,727
2,0,OLD,4/11/2020,20205262,48647600,14,122.2,5305,48749,195,582
3,0,OLD,4/11/2020,20206402,33040100,9.5,135.4,3526,8245,184,436
4,0,OLD,4/11/2020,20204107,26535540,7.7,97.1,2952,79835,314,563
5,0,OLD,4/11/2020,20199842,25190400,7.3,139.9,2725,563462,255,438
6,0,OLD,4/11/2020,20206446,18325100,5.3,112,1919,17204,156,358
7,0,OLD,4/11/2020,20167904,8058620,2.3,91.2,1547,3637991,87,190
8,0,OLD,4/11/2020,20205902,10985260,3.2,106.2,1240,4715,240,357
9,25,OLD,4/11/2020,20190280,9991300,2.9,1924.8,1026,674071,22,45
10,3,OLD,4/11/2020,20205708,7787820,2.2,115.5,849,41739,110,170
1,0,OLD,4/12/2020,20192399,66975860,19.4,3.9,7352,759393,364,728
2,0,OLD,4/12/2020,20205262,47633600,13.8,-2.1,5204,53953,200,589
3,0,OLD,4/12/2020,20206402,35382700,10.3,7.1,3709,11954,172,433
4,0,OLD,4/12/2020,20204107,26369260,7.7,-0.6,2870,82705,315,554
5,0,OLD,4/12/2020,20199842,25888980,7.5,2.8,2752,566214,250,422
6,0,OLD,4/12/2020,20206446,16601700,4.8,-9.4,1731,18935,159,337
7,0,OLD,4/12/2020,20167904,7903400,2.3,-1.9,1515,3639506,88,197
8,1,OLD,4/12/2020,20190280,11153840,3.2,11.6,1152,675223,21,45
9,-1,OLD,4/12/2020,20205902,9471880,2.8,-13.8,1065,5780,218,314
10,2,OLD,4/12/2020,20176767,4027000,1.2,6.5,800,178258,39,59
1,0,OLD,4/13/2020,20192399,19947280,16.6,-70.2,2390,761783,320,582
2,1,OLD,4/13/2020,20206402,13788700,11.5,-61,1641,13595,158,362
3,-1,OLD,4/13/2020,20205262,12323600,10.2,-74.1,1476,55429,172,413
4,0,OLD,4/13/2020,20204107,8901200,7.4,-66.2,1095,83800,238,368
5,0,OLD,4/13/2020,20199842,8078300,6.7,-68.8,939,567153,185,259
6,0,OLD,4/13/2020,20206446,5998500,5,-63.9,710,19645,130,247
7,0,NEW,4/13/2020,20206021,4424000,3.7,100,632,1008,5,5
8,-1,OLD,4/13/2020,20167904,3131900,2.6,-60.4,598,3640104,67,145
9,0,OLD,4/13/2020,20205902,4002920,3.3,-57.7,509,6289,164,214
10,0,OLD,4/13/2020,20176767,2040500,1.7,-49.3,403,178661,36,54
1,0,OLD,4/14/2020,20192399,20785160,16.7,4.2,2499,764282,317,570
2,1,OLD,4/14/2020,20205262,13830400,11.1,12.2,1655,57084,173,409
3,-1,OLD,4/14/2020,20206402,13043800,10.5,-5.4,1547,15142,163,347
4,0,OLD,4/14/2020,20204107,9382940,7.5,5.4,1156,84956,246,383
5,0,OLD,4/14/2020,20199842,8555860,6.9,5.9,1027,568180,199,286
6,0,OLD,4/14/2020,20206446,5820900,4.7,-3,690,20335,127,231
7,1,OLD,4/14/2020,20167904,2868880,2.3,-8.4,572,3640676,68,133
8,2,OLD,4/14/2020,20176767,2227000,1.8,9.1,443,179104,36,55
9,0,OLD,4/14/2020,20205902,3372720,2.7,-15.7,434,6723,168,211
10,0,NEW,4/14/2020,20204741,3726000,3,100,414,414,3,3
1,0,NEW,4/15/2020,20206190,46999900,12.8,100,5168,5168,338,839
2,25,OLD,4/15/2020,20206021,46029500,12.5,7003.3,5048,6164,162,469
3,-2,OLD,4/15/2020,20192399,43609500,11.9,109.8,4854,769136,276,497
4,3,OLD,4/15/2020,20167904,23562820,6.4,721.3,4574,3645250,247,425
5,-3,OLD,4/15/2020,20205262,23886400,6.5,72.7,2657,59741,144,358
6,-3,OLD,4/15/2020,20206402,22872200,6.2,75.3,2417,17559,146,336
7,3,OLD,4/15/2020,20204741,20979740,5.7,463.1,2364,2778,184,308
8,0,NEW,4/15/2020,20196716,16079120,4.4,100,1754,1754,136,179
9,31,OLD,4/15/2020,20190280,8595760,2.3,2109.3,1675,676994,74,130
10,0,NEW,4/15/2020,20161827,11436980,3.1,100,1603,2170712,259,360
1,1,OLD,4/16/2020,20206021,21120500,14.5,-54.1,2755,8919,163,406
2,-1,OLD,4/16/2020,20206190,19157800,13.1,-59.2,2326,7494,319,656
3,1,OLD,4/16/2020,20167904,10710160,7.3,-54.5,2101,3647351,232,373
4,-1,OLD,4/16/2020,20192399,13124260,9,-69.9,1597,770733,244,371
5,2,OLD,4/16/2020,20204741,9618740,6.6,-54.2,1208,3986,174,284
6,2,OLD,4/16/2020,20196716,7592840,5.2,-52.8,894,2648,132,182
7,-1,OLD,4/16/2020,20206402,7134100,4.9,-68.8,838,18397,126,239
8,-3,OLD,4/16/2020,20205262,6596100,4.5,-72.4,797,60538,128,250
9,1,OLD,4/16/2020,20161827,5400580,3.7,-52.8,789,2171501,200,263
10,1,OLD,4/16/2020,20206447,4450760,3.1,-63.3,570,2534,147,193
1,2,OLD,4/17/2020,20167904,14425460,7.6,34.7,2836,3650187,253,416
2,0,OLD,4/17/2020,20206190,25026760,13.2,30.6,2800,10294,314,690
3,1,OLD,4/17/2020,20192399,21255920,11.2,62,2397,773130,267,437
4,-3,OLD,4/17/2020,20206021,20506500,10.8,-2.9,2242,11161,160,393
5,0,OLD,4/17/2020,20204741,13042680,6.9,35.6,1487,5473,172,293
6,0,OLD,4/17/2020,20196716,13153440,7,73.2,1449,4097,146,203
7,1,OLD,4/17/2020,20205262,9171000,4.8,39,1054,61592,130,277
8,-1,OLD,4/17/2020,20206402,9433700,5,32.2,1000,19397,133,262
9,0,OLD,4/17/2020,20161827,6055500,3.2,12.1,882,2172383,217,279
10,0,OLD,4/17/2020,20206447,6617360,3.5,48.7,769,3303,144,201
1,0,OLD,4/18/2020,20167904,29880960,8.4,107.1,5846,3656033,294,530
2,1,OLD,4/18/2020,20192399,50882340,14.2,139.4,5647,778777,306,577
3,-1,OLD,4/18/2020,20206190,45472720,12.7,81.7,5098,15392,345,849
4,0,OLD,4/18/2020,20206021,39625500,11.1,93.2,4213,15374,181,489
5,0,OLD,4/18/2020,20204741,22130180,6.2,69.7,2531,8004,200,361
6,2,OLD,4/18/2020,20206402,21403500,6,126.9,2288,21685,145,329
7,-1,OLD,4/18/2020,20196716,19252100,5.4,46.4,2118,6215,165,250
8,-1,OLD,4/18/2020,20205262,18080500,5.1,97.1,2051,63643,148,344
9,1,OLD,4/18/2020,20206447,13758340,3.8,107.9,1586,4889,187,276
10,1,OLD,4/18/2020,20128274,6903500,1.9,96.1,1375,5931179,58,98
1,0,OLD,4/19/2020,20167904,32696080,8.8,9.4,6387,3662420,304,550
2,0,OLD,4/19/2020,20192399,56773680,15.3,11.6,6263,785040,306,584
3,0,OLD,4/19/2020,20206190,47446920,12.8,4.3,5235,20627,355,852
4,0,OLD,4/19/2020,20206021,37268000,10.1,-5.9,3994,19368,175,477
5,0,OLD,4/19/2020,20204741,23767160,6.4,7.4,2662,10666,197,369
6,0,OLD,4/19/2020,20206402,22341000,6,4.4,2339,24024,147,329
7,1,OLD,4/19/2020,20205262,19581500,5.3,8.3,2189,65832,144,330
8,-1,OLD,4/19/2020,20196716,17594300,4.7,-8.6,1945,8160,163,258
9,0,OLD,4/19/2020,20206447,13506540,3.6,-1.8,1541,6430,177,262
10,0,OLD,4/19/2020,20128274,6749500,1.8,-2.2,1335,5932514,60,100
1,0,OLD,4/20/2020,20167904,13623680,10,-58.3,2626,3665046,264,446
2,0,OLD,4/20/2020,20192399,16779160,12.3,-70.4,2037,787077,278,444
3,0,OLD,4/20/2020,20206190,15811580,11.6,-66.7,1983,22610,288,576
4,0,OLD,4/20/2020,20206021,11226500,8.2,-69.9,1378,20746,144,328
5,0,OLD,4/20/2020,20204741,8461440,6.2,-64.4,1059,11725,171,291
6,2,OLD,4/20/2020,20196716,7857480,5.8,-55.3,978,9138,148,209
7,-1,OLD,4/20/2020,20206402,6747400,4.9,-69.8,808,24832,125,234
8,-1,OLD,4/20/2020,20205262,5637500,4.1,-71.2,682,66514,122,222
9,0,OLD,4/20/2020,20206447,4996660,3.7,-63,614,7044,140,186
10,2,OLD,4/20/2020,20161827,3936900,2.9,-53.7,585,2175541,176,217
1,0,OLD,4/21/2020,20167904,13274620,9.4,-2.6,2601,3667647,264,453
2,0,OLD,4/21/2020,20192399,17875860,12.7,6.5,2186,789263,272,461
3,0,OLD,4/21/2020,20206190,13780860,9.8,-12.8,1704,24314,280,550
4,0,NEW,4/21/2020,20205402,6130000,4.3,100,1226,1242,2,4
5,-1,OLD,4/21/2020,20206021,9402500,6.7,-16.2,1153,21899,147,329
6,-1,OLD,4/21/2020,20204741,8245120,5.8,-2.6,1046,12771,165,282
7,0,OLD,4/21/2020,20206402,6666400,4.7,-1.2,788,25620,115,220
