rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange,audiCnt,audiAcc,scrnCnt,showCnt
1,0,OLD,5/1/2020,20205402,70128520,12.2,-41.7,8822,35054,281,791
2,0,OLD,5/1/2020,20197397,64189060,11.2,-34,7279,26844,533,933
3,11,OLD,5/1/2020,20173226,59316340,10.4,342.3,6391,10601,320,397
4,0,OLD,5/1/2020,20181685,54055380,9.4,-36.1,6150,23082,444,776
5,-2,OLD,5/1/2020,20207722,48828300,8.5,-42.8,5880,28309,437,782
6,-1,OLD,5/1/2020,20184889,40896600,7.1,-34.9,5624,13956005,479,647
7,-1,OLD,5/1/2020,20206441,42848900,7.5,-34.3,4745,18761,232,584
8,-1,OLD,5/1/2020,20192399,38905780,6.8,-35.8,4482,829721,306,440
9,-1,OLD,5/1/2020,20167904,17286460,3,-35.4,3278,3706331,289,437
10,0,OLD,5/1/2020,20177478,20258880,3.5,-41.1,2648,11224539,364,459
1,0,OLD,5/2/2020,20205402,87576300,14.2,24.9,10946,46000,311,886
2,0,OLD,5/2/2020,20197397,70052600,11.4,9.1,7913,34757,528,1021
3,1,OLD,5/2/2020,20181685,63385960,10.3,17.3,7115,30197,460,803
4,-1,OLD,5/2/2020,20173226,62799180,10.2,5.9,6634,17235,357,474
5,1,OLD,5/2/2020,20184889,41190160,6.7,0.7,5766,13961771,456,617
6,-1,OLD,5/2/2020,20207722,46914680,7.6,-3.9,5731,34040,468,828
7,0,OLD,5/2/2020,20206441,49402700,8,15.3,5403,24164,238,608
8,0,OLD,5/2/2020,20192399,43253140,7,11.2,4828,834549,318,476
9,0,OLD,5/2/2020,20167904,18283320,3,5.8,3547,3709878,295,428
10,0,OLD,5/2/2020,20177478,18307300,3,-9.6,2436,11226975,337,428
1,0,OLD,5/3/2020,20205402,87163120,14.1,-0.5,11115,57115,303,894
2,0,OLD,5/3/2020,20197397,66494180,10.8,-5.1,7499,42256,525,1026
3,0,OLD,5/3/2020,20181685,61159000,9.9,-3.5,6856,37053,461,810
4,0,OLD,5/3/2020,20173226,61865020,10,-1.5,6618,23853,397,523
5,1,OLD,5/3/2020,20207722,53831200,8.7,14.7,6418,40458,457,820
6,1,OLD,5/3/2020,20206441,53474800,8.7,8.2,5793,29957,240,615
7,-2,OLD,5/3/2020,20184889,40021420,6.5,-2.8,5656,13967427,451,609
8,0,OLD,5/3/2020,20192399,44541220,7.2,3,4887,839436,332,481
9,0,OLD,5/3/2020,20167904,17631800,2.9,-3.6,3429,3713307,286,414
10,0,OLD,5/3/2020,20177478,16763240,2.7,-8.4,2250,11229225,334,405
1,0,OLD,5/4/2020,20205402,49939400,13.4,-42.7,6806,63921,298,858
2,2,OLD,5/4/2020,20173226,44187640,11.9,-28.6,5843,29696,385,519
3,-1,OLD,5/4/2020,20197397,42161900,11.3,-36.6,5057,47313,484,964
4,1,OLD,5/4/2020,20207722,35187300,9.5,-34.6,4746,45204,441,794
5,-2,OLD,5/4/2020,20181685,31369220,8.4,-48.7,3873,40926,420,721
6,1,OLD,5/4/2020,20184889,25475240,6.8,-36.3,3507,13970934,406,531
7,1,OLD,5/4/2020,20192399,27412400,7.4,-38.5,3340,842776,307,485
8,-2,OLD,5/4/2020,20206441,27520900,7.4,-48.5,3312,33269,228,563
9,0,OLD,5/4/2020,20167904,12230040,3.3,-30.6,2401,3715708,268,392
10,0,OLD,5/4/2020,20177478,11147060,3,-33.5,1496,11230721,286,351
1,0,OLD,5/5/2020,20205402,230284320,24.9,361.1,29363,93284,344,1133
2,1,OLD,5/5/2020,20197397,78299080,8.5,85.7,8883,56196,511,1085
3,1,OLD,5/5/2020,20207722,70847420,7.7,101.3,8465,53669,463,866
4,8,OLD,5/5/2020,20204342,70967740,7.7,774.5,8235,18217,367,575
5,3,OLD,5/5/2020,20206441,74175400,8,169.5,8150,41419,235,651
6,-4,OLD,5/5/2020,20173226,72219560,7.8,63.4,8142,37838,409,575
7,-2,OLD,5/5/2020,20181685,68956820,7.5,119.8,7806,48732,465,837
8,-2,OLD,5/5/2020,20184889,47233940,5.1,85.4,6668,13977602,439,587
9,-2,OLD,5/5/2020,20192399,51933300,5.6,89.5,5815,848591,321,532
10,-1,OLD,5/5/2020,20167904,23749580,2.6,94.2,4649,3720357,291,429
1,0,NEW,5/6/2020,20207341,52319060,20.6,100,6321,6962,467,1097
2,-1,OLD,5/6/2020,20205402,24014140,9.5,-89.6,3257,96541,223,587
3,0,OLD,5/6/2020,20207722,22519540,8.9,-68.2,3233,56902,341,554
4,2,OLD,5/6/2020,20173226,26055640,10.3,-63.9,3096,40934,314,405
5,-3,OLD,5/6/2020,20197397,21572540,8.5,-72.4,2629,58825,337,597
6,1,OLD,5/6/2020,20181685,17111600,6.7,-75.2,2069,50801,275,442
7,0,NEW,5/6/2020,20207893,16378940,6.5,100,2045,2045,231,394
8,-3,OLD,5/6/2020,20206441,10784900,4.3,-85.5,1323,42742,159,368
9,0,OLD,5/6/2020,20192399,9193340,3.6,-82.3,1097,849688,192,272
10,0,OLD,5/6/2020,20167904,5545280,2.2,-76.7,1093,3721450,173,230
1,0,OLD,5/7/2020,20207341,43861820,18.6,-16.2,5342,12304,473,1073
2,1,OLD,5/7/2020,20207722,21799260,9.3,-3.2,3198,60100,319,495
3,-1,OLD,5/7/2020,20205402,21113780,9,-12.1,2869,99410,217,537
4,0,OLD,5/7/2020,20173226,23656280,10.1,-9.2,2794,43728,323,407
5,0,OLD,5/7/2020,20197397,19680580,8.4,-8.8,2322,61147,312,505
6,1,OLD,5/7/2020,20207893,16852980,7.2,2.9,2125,4170,244,379
7,-1,OLD,5/7/2020,20181685,13197800,5.6,-22.9,1612,52413,230,346
8,0,OLD,5/7/2020,20206441,9626600,4.1,-10.7,1170,43912,162,339
9,0,OLD,5/7/2020,20192399,7855260,3.3,-14.6,979,850667,183,233
10,0,OLD,5/7/2020,20167904,4222800,1.8,-23.8,810,3722260,152,190
1,0,OLD,5/8/2020,20207341,46369300,19.7,5.7,5171,17475,491,1089
2,0,OLD,5/8/2020,20207722,29310420,12.4,34.5,3943,64043,345,544
3,1,OLD,5/8/2020,20173226,26513060,11.2,12.1,2831,46559,345,452
4,-1,OLD,5/8/2020,20205402,20005820,8.5,-5.2,2480,101890,221,519
5,1,OLD,5/8/2020,20207893,16940160,7.2,0.5,1944,6114,252,389
6,-1,OLD,5/8/2020,20197397,16865440,7.2,-14.3,1915,63062,304,476
7,0,OLD,5/8/2020,20181685,11131200,4.7,-15.7,1233,53646,232,322
8,1,OLD,5/8/2020,20192399,10133480,4.3,29,1128,851795,197,249
9,-1,OLD,5/8/2020,20206441,10209000,4.3,6,1120,45032,156,327
10,0,OLD,5/8/2020,20167904,4733740,2,12.1,925,3723185,159,198
1,0,OLD,5/9/2020,20207341,158252880,23.3,241.3,17092,34567,563,1411
2,2,OLD,5/9/2020,20205402,69643220,10.3,248.1,8766,110656,279,800
3,2,OLD,5/9/2020,20207893,71585060,10.5,322.6,8106,14220,308,537
4,-2,OLD,5/9/2020,20207722,53730040,7.9,83.3,6438,70481,406,728
5,-2,OLD,5/9/2020,20173226,59000140,8.7,122.5,6335,52894,403,570
6,0,OLD,5/9/2020,20197397,38295460,5.6,127.1,4256,67318,347,610
7,1,OLD,5/9/2020,20192399,37395360,5.5,269,4061,855856,233,341
8,1,OLD,5/9/2020,20206441,34491900,5.1,237.9,3730,48762,187,461
9,-2,OLD,5/9/2020,20181685,32727240,4.8,194,3662,57308,294,481
10,0,OLD,5/9/2020,20167904,13140900,1.9,177.6,2574,3725759,196,265
1,0,OLD,5/10/2020,20207341,113359800,19.6,-28.4,12161,46728,563,1379
2,1,OLD,5/10/2020,20207893,78244840,13.5,9.3,8777,22997,326,577
3,-1,OLD,5/10/2020,20205402,64160840,11.1,-7.9,8115,118771,277,813
4,0,OLD,5/10/2020,20207722,45326080,7.8,-15.6,5653,76134,407,714
5,0,OLD,5/10/2020,20173226,50543540,8.7,-14.3,5474,58368,404,569
6,0,OLD,5/10/2020,20197397,34975780,6,-8.7,3905,71223,350,605
7,2,OLD,5/10/2020,20181685,33968940,5.9,3.8,3821,61129,284,473
8,-1,OLD,5/10/2020,20192399,27361380,4.7,-26.8,2959,858815,229,331
9,-1,OLD,5/10/2020,20206441,24045500,4.2,-30.3,2570,51332,183,421
10,0,OLD,5/10/2020,20167904,11528120,2,-12.3,2255,3728014,195,256
1,0,OLD,5/11/2020,20207341,34212660,18.5,-69.8,4118,50846,498,1041
2,0,OLD,5/11/2020,20207893,21060340,11.4,-73.1,2589,25586,308,523
3,1,OLD,5/11/2020,20207722,17307140,9.4,-61.8,2554,78688,328,499
4,1,OLD,5/11/2020,20173226,19139620,10.4,-62.1,2298,60666,367,479
5,-2,OLD,5/11/2020,20205402,12180620,6.6,-81,1648,120419,200,440
6,0,OLD,5/11/2020,20197397,12321680,6.7,-64.8,1508,72731,279,430
7,0,OLD,5/11/2020,20181685,10582480,5.7,-68.8,1302,62431,226,320
8,2,OLD,5/11/2020,20167904,4362000,2.4,-62.2,855,3728869,166,212
9,-1,OLD,5/11/2020,20192399,7043740,3.8,-74.3,853,859668,172,222
10,-1,OLD,5/11/2020,20206441,5976400,3.2,-75.1,733,52065,142,262
1,0,OLD,5/12/2020,20207341,34759940,18.4,1.6,4178,55024,491,1037
2,0,OLD,5/12/2020,20207893,24316340,12.9,15.5,3008,28594,328,559
3,0,OLD,5/12/2020,20207722,17706760,9.4,2.3,2533,81221,327,527
4,0,OLD,5/12/2020,20173226,18766140,9.9,-2,2211,62877,368,479
5,0,OLD,5/12/2020,20205402,12949780,6.8,6.3,1753,122172,215,443
6,0,OLD,5/12/2020,20197397,13868540,7.3,12.6,1700,74431,286,427
7,0,OLD,5/12/2020,20181685,9697240,5.1,-8.4,1203,63634,235,323
8,0,OLD,5/12/2020,20167904,5048700,2.7,15.7,991,3729860,172,210
9,0,OLD,5/12/2020,20192399,7770280,4.1,10.3,954,860622,176,222
