rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
1,0,NEW,4/1/2020,20205262,48850700,19.3,100
2,-1,OLD,4/1/2020,20204107,31798560,12.6,-35.7
3,-1,OLD,4/1/2020,20192399,30146760,11.9,-27.4
4,-1,OLD,4/1/2020,20199842,19394760,7.7,-37.8
5,0,NEW,4/1/2020,20206446,17246100,6.8,100
6,-1,OLD,4/1/2020,20205708,15915760,6.3,-4.2
7,2,OLD,4/1/2020,20190280,14284000,5.7,43.2
8,-2,OLD,4/1/2020,20167904,8691000,3.4,-27.6
9,2,OLD,4/1/2020,20161872,8918000,3.5,14.1
10,-6,OLD,4/1/2020,20204791,6237920,2.5,-65.4
1,0,OLD,4/2/2020,20205262,37959900,17.6,-22.3
2,0,OLD,4/2/2020,20204107,22042740,10.2,-30.7
3,72,OLD,4/2/2020,20205841,22488080,10.4,39701.9
4,-1,OLD,4/2/2020,20192399,20863300,9.7,-30.8
5,-1,OLD,4/2/2020,20199842,13484660,6.3,-30.5
6,29,OLD,4/2/2020,20204340,10647360,4.9,1094.4
7,-2,OLD,4/2/2020,20206446,10624400,4.9,-38.4
8,-2,OLD,4/2/2020,20205708,9472920,4.4,-40.5
9,-1,OLD,4/2/2020,20167904,7244080,3.4,-16.6
10,0,NEW,4/2/2020,20205321,6237000,2.9,100
1,0,OLD,4/3/2020,20205262,37700100,17.6,-0.7
2,0,OLD,4/3/2020,20204107,24781500,11.6,12.4
3,1,OLD,4/3/2020,20192399,24121320,11.2,15.6
4,-1,OLD,4/3/2020,20205841,17390260,8.1,-22.7
5,0,OLD,4/3/2020,20199842,15347560,7.2,13.8
6,1,OLD,4/3/2020,20206446,12748200,5.9,20
7,1,OLD,4/3/2020,20205708,10280240,4.8,8.5
8,1,OLD,4/3/2020,20167904,8337340,3.9,15.1
9,14,OLD,4/3/2020,20180962,6966380,3.2,356.7
10,3,OLD,4/3/2020,20204791,3188300,1.5,8.4
1,0,OLD,4/4/2020,20205262,75121500,20,99.3
2,1,OLD,4/4/2020,20192399,51792600,13.8,114.7
3,-1,OLD,4/4/2020,20204107,44614800,11.9,80
4,1,OLD,4/4/2020,20199842,32247140,8.6,110.1
5,1,OLD,4/4/2020,20206446,27768800,7.4,117.8
6,-2,OLD,4/4/2020,20205841,26260580,7,51
7,0,OLD,4/4/2020,20205708,18317220,4.9,78.2
8,0,OLD,4/4/2020,20167904,14496240,3.9,73.9
9,1,OLD,4/4/2020,20204791,6257460,1.7,96.3
10,4,OLD,4/4/2020,20010013,2952000,0.8,82.8
1,0,OLD,4/5/2020,20205262,68939900,20.7,-8.2
2,0,OLD,4/5/2020,20192399,47927660,14.4,-7.5
3,0,OLD,4/5/2020,20204107,31395960,9.4,-29.6
4,0,OLD,4/5/2020,20199842,28839040,8.7,-10.6
5,0,OLD,4/5/2020,20206446,23999000,7.2,-13.6
6,0,OLD,4/5/2020,20205841,21810200,6.5,-16.9
7,0,OLD,4/5/2020,20205708,16469680,4.9,-10.1
8,0,OLD,4/5/2020,20167904,12796580,3.8,-11.7
9,0,OLD,4/5/2020,20204791,4963840,1.5,-20.7
10,2,OLD,4/5/2020,20190280,5390000,1.6,14.4
1,0,OLD,4/6/2020,20205262,22566000,18,-67.3
2,0,OLD,4/6/2020,20192399,16334300,13.1,-65.9
3,0,OLD,4/6/2020,20204107,11457240,9.2,-63.5
4,0,OLD,4/6/2020,20199842,10793240,8.6,-62.6
5,0,OLD,4/6/2020,20206446,9200500,7.4,-61.7
6,0,OLD,4/6/2020,20205841,8002080,6.4,-63.3
7,0,OLD,4/6/2020,20205708,6321960,5.1,-61.6
8,0,OLD,4/6/2020,20167904,5170740,4.1,-59.6
9,0,NEW,4/6/2020,20205902,4689000,3.7,100
10,4,OLD,4/6/2020,20010013,1159000,0.9,-46.9
1,0,OLD,4/7/2020,20205262,20405100,16.7,-9.6
2,0,OLD,4/7/2020,20192399,13852600,11.3,-15.2
3,0,OLD,4/7/2020,20204107,11035360,9,-3.7
4,0,OLD,4/7/2020,20199842,9539260,7.8,-11.6
5,0,OLD,4/7/2020,20206446,9143500,7.5,-0.6
6,0,OLD,4/7/2020,20205841,7926840,6.5,-0.9
7,1,OLD,4/7/2020,20167904,5720260,4.7,10.6
8,-1,OLD,4/7/2020,20205708,5922460,4.8,-6.3
9,0,OLD,4/7/2020,20205902,4689000,3.8,0
10,2,OLD,4/7/2020,20204791,2160080,1.8,38.3
1,0,OLD,4/8/2020,20205262,20587000,14,0.9
