movieCd,audiCnt,audiAcc,scrnCnt,showCnt
20205262,6165,6165,175,509
20204107,4105,55718,346,730
20192399,3745,718672,341,589
20199842,2373,545382,296,489
20206446,2148,2212,157,335
20205708,1893,32067,209,416
20190280,1439,671550,19,34
20167904,1091,3627999,85,202
20161872,892,3723986,15,23
20204791,806,123686,143,188
20205262,4799,10964,170,503
20204107,2791,58509,323,598
20205841,2714,2854,275,528
20192399,2591,721263,307,481
20199842,1633,547015,245,379
20204340,1378,18142,23,28
20206446,1276,3488,157,307
20205708,1139,33206,178,311
20167904,909,3628908,80,166
20205321,765,765,55,84
20205262,4280,15244,175,504
20204107,2901,61410,319,590
20192399,2784,724047,313,503
20205841,1956,4810,256,476
20199842,1693,548708,252,399
20206446,1389,4877,155,332
20205708,1131,34337,183,300
20167904,960,3629868,77,171
20180962,772,621719,52,68
20204791,371,124428,88,109
20205262,8288,23532,199,618
20192399,5681,729728,362,638
20204107,5010,66420,352,718
20199842,3453,552161,280,497
20206446,2906,7783,171,396
20205841,2843,7653,294,549
20205708,1947,36284,207,376
20167904,1618,3631486,89,196
20204791,721,125149,119,150
20010013,551,7482,46,77
20205262,7576,31108,206,618
20192399,5213,734941,358,641
20204107,3509,69929,347,704
20199842,3076,555237,276,478
20206446,2520,10303,164,381
20205841,2362,10015,269,486
20205708,1759,38043,212,365
20167904,1412,3632898,92,196
20204791,569,125718,118,157
20190280,562,672723,7,13
20205262,2718,33826,183,487
20192399,1907,736848,310,497
20204107,1412,71341,281,486
20199842,1302,556539,234,346
20206446,1096,11399,145,287
20205841,976,10991,204,321
20205708,745,38788,158,233
20167904,631,3633529,77,156
20205902,521,585,6,6
20010013,228,8144,41,68
20205262,2472,36298,181,484
20192399,1680,738528,299,474
20204107,1346,72687,273,474
20199842,1123,557662,225,325
20206446,1085,12484,146,294
20205841,949,11940,205,323
20167904,705,3634234,78,160
20205708,700,39488,159,233
20205902,521,1106,6,6
20204791,274,126184,85,98
20205262,2476,38774,188,484
20192399,2009,740537,309,531
20206402,1760,1760,155,346
20204107,1419,74106,265,460
20205902,1138,2244,240,358
20199842,1075,558737,208,311
20206446,1025,13509,145,289
20205841,853,12793,189,281
20167904,784,3635018,84,176
20205708,597,40085,125,177
20205262,2232,41006,177,461
20192399,1938,742475,305,518
20206402,1448,3208,145,321
20204107,1278,75384,255,414
20199842,883,559620,208,282
20206446,861,14370,129,261
20167904,646,3635664,70,145
20205902,620,2864,198,279
20205841,492,13285,140,181
20205190,490,940,121,151
20192399,2530,745005,329,569
20205262,2438,43444,180,474
20206402,1511,4719,155,320
20204107,1499,76883,261,445
20199842,1117,560737,204,296
20206446,915,15285,133,273
20167904,780,3636444,80,166
20205902,611,3475,185,255
20128588,518,47670,30,48
20205190,490,1430,105,133
20192399,7036,752041,360,727
20205262,5305,48749,195,582
20206402,3526,8245,184,436
20204107,2952,79835,314,563
20199842,2725,563462,255,438
20206446,1919,17204,156,358
20167904,1547,3637991,87,190
20205902,1240,4715,240,357
20190280,1026,674071,22,45
20205708,849,41739,110,170
20192399,7352,759393,364,728
20205262,5204,53953,200,589
20206402,3709,11954,172,433
20204107,2870,82705,315,554
20199842,2752,566214,250,422
20206446,1731,18935,159,337
20167904,1515,3639506,88,197
20190280,1152,675223,21,45
20205902,1065,5780,218,314
20176767,800,178258,39,59
20192399,2390,761783,320,582
20206402,1641,13595,158,362
20205262,1476,55429,172,413
20204107,1095,83800,238,368
20199842,939,567153,185,259
20206446,710,19645,130,247
20206021,632,1008,5,5
20167904,598,3640104,67,145
20205902,509,6289,164,214
20176767,403,178661,36,54
20192399,2499,764282,317,570
20205262,1655,57084,173,409
20206402,1547,15142,163,347
20204107,1156,84956,246,383
20199842,1027,568180,199,286
20206446,690,20335,127,231
20167904,572,3640676,68,133
20176767,443,179104,36,55
20205902,434,6723,168,211
20204741,414,414,3,3
20206190,5168,5168,338,839
20206021,5048,6164,162,469
20192399,4854,769136,276,497
20167904,4574,3645250,247,425
20205262,2657,59741,144,358
20206402,2417,17559,146,336
20204741,2364,2778,184,308
20196716,1754,1754,136,179
20190280,1675,676994,74,130
20161827,1603,2170712,259,360
20206021,2755,8919,163,406
20206190,2326,7494,319,656
20167904,2101,3647351,232,373
20192399,1597,770733,244,371
20204741,1208,3986,174,284
20196716,894,2648,132,182
20206402,838,18397,126,239
20205262,797,60538,128,250
20161827,789,2171501,200,263
20206447,570,2534,147,193
20167904,2836,3650187,253,416
20206190,2800,10294,314,690
20192399,2397,773130,267,437
20206021,2242,11161,160,393
20204741,1487,5473,172,293
20196716,1449,4097,146,203
20205262,1054,61592,130,277
20206402,1000,19397,133,262
20161827,882,2172383,217,279
20206447,769,3303,144,201
20167904,5846,3656033,294,530
20192399,5647,778777,306,577
20206190,5098,15392,345,849
20206021,4213,15374,181,489
20204741,2531,8004,200,361
20206402,2288,21685,145,329
20196716,2118,6215,165,250
20205262,2051,63643,148,344
20206447,1586,4889,187,276
20128274,1375,5931179,58,98
20167904,6387,3662420,304,550
20192399,6263,785040,306,584
20206190,5235,20627,355,852
20206021,3994,19368,175,477
20204741,2662,10666,197,369
20206402,2339,24024,147,329
20205262,2189,65832,144,330
20196716,1945,8160,163,258
20206447,1541,6430,177,262
20128274,1335,5932514,60,100
20167904,2626,3665046,264,446
20192399,2037,787077,278,444
20206190,1983,22610,288,576
20206021,1378,20746,144,328
20204741,1059,11725,171,291
20196716,978,9138,148,209
20206402,808,24832,125,234
20205262,682,66514,122,222
20206447,614,7044,140,186
