age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
52,0,11,5,1,1,0,1,1
47,1,1,5,1,1,0,1,1
54,0,11,5,1,1,0,1,1
48,0,9,5,1,1,0,0,1
45,1,1,4,1,1,0,0,0
17,0,1,4,1,1,0,0,0
11,0,1,2,1,0,0,0,0
43,1,6,5,1,1,0,0,0
13,0,1,3,1,1,0,0,0
12,1,1,2,1,1,0,0,0
47,0,14,5,1,0,0,0,1
42,1,1,5,1,1,0,0,1
13,1,1,3,1,1,0,0,0
12,1,1,2,1,1,0,0,0
50,0,10,5,1,1,0,0,1
46,1,4,4,1,1,0,0,1
18,1,1,4,1,1,0,1,0
13,1,1,3,1,1,0,1,0
69,0,1,4,1,0,0,0,0
56,0,6,5,1,1,0,0,0
40,0,8,5,1,1,0,1,1
40,1,8,6,1,1,0,1,1
9,0,1,2,1,1,0,0,0
53,0,6,4,1,1,1,1,1
53,1,4,4,1,1,0,1,1
28,0,7,5,1,1,0,0,1
26,1,2,5,1,1,0,0,1
72,0,3,3,1,1,0,0,1
69,1,1,3,1,1,0,0,1
57,1,5,4,1,1,0,0,0
68,0,4,3,1,1,0,0,1
67,1,2,3,1,1,0,0,1
52,1,4,4,1,1,0,0,1
67,0,5,4,1,1,0,0,0
65,1,1,4,1,1,0,0,0
58,0,8,5,1,1,0,0,0
64,1,1,4,1,1,0,0,0
45,0,6,5,1,1,0,1,0
58,0,7,5,1,1,0,0,0
56,1,1,4,1,1,0,0,0
65,0,4,4,1,1,0,0,0
53,1,6,4,1,1,0,0,0
64,1,1,4,1,1,0,0,0
57,0,6,4,1,1,0,0,0
34,1,6,5,1,1,0,1,0
56,1,5,4,1,1,0,0,0
29,1,5,5,1,1,0,1,0
32,1,5,5,1,1,0,1,0
30,0,5,4,1,1,0,0,0
60,0,6,4,1,1,0,0,0
56,1,5,4,1,1,0,0,0
27,1,6,5,1,1,0,1,0
25,1,5,5,1,1,0,1,0
83,0,2,2,1,0,0,0,0
82,1,2,2,1,0,0,0,0
48,0,1,4,1,1,0,0,0
80,1,2,2,1,0,0,0,0
55,0,5,5,1,0,0,0,0
53,1,3,4,1,1,0,0,0
28,0,5,5,1,1,0,1,0
22,0,1,5,1,1,0,1,0
64,0,3,4,1,1,0,0,0
32,0,7,5,1,1,0,0,0
65,1,1,4,1,1,0,0,0
47,0,8,5,1,1,0,0,1
42,1,1,5,1,1,0,0,1
50,0,8,5,1,1,0,0,1
50,1,4,4,1,1,0,0,1
42,0,10,5,1,1,0,0,1
40,1,6,6,1,1,0,1,1
51,1,1,4,1,1,0,1,1
25,1,5,5,1,1,1,1,1
22,0,1,5,1,1,0,1,1
52,0,12,5,1,1,0,0,1
62,0,6,4,1,1,0,0,0
58,1,6,3,1,1,0,0,1
54,1,1,4,1,1,0,1,1
15,1,1,3,1,1,0,1,0
39,0,7,4,1,1,1,0,0
39,1,1,4,1,1,1,0,0
12,0,1,2,1,1,0,0,0
38,0,8,4,0,1,0,0,1
38,1,4,4,0,1,0,0,0
10,0,1,2,0,1,0,0,0
8,0,1,2,0,1,0,0,0
57,0,1,5,1,1,0,0,1
54,1,1,4,1,1,0,0,0
29,1,5,5,1,1,1,0,1
26,1,5,5,1,1,0,1,0
44,0,11,4,1,1,0,1,0
42,1,1,4,1,1,0,1,0
13,1,1,3,1,1,0,1,0
13,1,1,3,1,1,0,1,0
11,1,1,2,1,1,0,0,0
47,0,7,5,1,1,0,0,1
43,1,4,4,1,1,0,0,0
57,0,6,4,1,1,0,1,1
83,1,1,2,1,0,0,0,0
50,1,4,4,1,1,0,0,1
79,0,5,3,1,0,0,0,0
73,1,1,3,1,0,0,0,0
55,1,5,4,1,1,0,0,0
24,0,1,5,1,1,0,1,1
58,1,4,4,1,1,0,1,1
75,1,6,2,1,0,0,0,0
58,0,6,4,1,1,1,1,1
47,1,1,4,1,1,1,0,1
71,0,4,3,1,0,0,0,0
72,1,1,3,1,0,0,0,0
50,0,6,4,1,1,0,1,1
47,1,4,4,1,1,0,1,1
72,0,5,3,1,1,0,0,0
62,1,1,3,1,1,0,0,0
31,1,5,4,1,1,0,1,1
74,0,5,2,1,0,0,0,0
38,0,6,4,1,1,0,1,1
36,1,4,4,1,1,0,1,1
45,0,9,5,1,1,0,1,1
42,1,1,4,1,1,0,1,1
61,0,6,4,1,1,0,0,1
61,1,5,4,1,1,0,1,0
75,0,1,3,1,0,0,0,0
71,1,1,3,1,0,0,0,0
44,0,6,4,1,1,0,0,1
57,1,1,3,1,1,0,0,1
23,0,3,5,1,1,0,0,1
28,1,6,5,1,1,0,0,1
36,1,6,5,1,1,0,1,1
41,0,7,5,1,1,0,0,1
39,1,1,4,1,1,0,0,1
56,1,5,4,1,1,0,1,1
79,1,1,2,1,0,0,0,0
57,0,10,4,1,1,0,1,1
54,1,8,5,1,1,0,1,1
26,0,6,5,1,1,0,1,1
53,0,10,5,1,1,1,1,1
51,1,1,5,1,1,0,1,1
82,1,1,4,1,1,0,0,0
53,0,11,6,1,1,0,1,1
50,1,6,5,1,1,0,1,1
60,0,11,5,1,1,0,1,0
53,1,6,4,1,1,0,1,1
52,0,10,5,1,1,0,1,1
48,1,1,4,1,1,0,1,1
36,1,8,5,1,1,0,0,1
11,0,1,2,1,0,0,0,1
58,0,10,5,1,1,0,1,1
54,1,6,5,1,1,0,1,0
55,0,11,5,1,1,0,0,0
51,1,1,4,1,1,0,1,1
56,1,1,5,1,1,0,0,1
26,1,5,5,1,1,0,1,1
54,1,6,4,1,1,0,1,1
77,0,4,4,1,1,0,0,1
74,1,1,2,1,1,0,0,0
86,0,1,3,1,0,0,0,0
87,1,1,2,1,0,0,0,0
