MEDV,DIS,AGE,RM
24.0,4.09,65.2,6.575
21.6,4.9671,78.9,6.421
34.7,4.9671,61.1,7.185
33.4,6.0622,45.8,6.998
36.2,6.0622,54.2,7.147
28.7,6.0622,58.7,6.43
22.9,5.5605,66.6,6.012
27.1,5.9505,96.1,6.172
16.5,6.0821,100.0,5.631
18.9,6.5921,85.9,6.004
15.0,6.3467,94.3,6.377
18.9,6.2267,82.9,6.009
21.7,5.4509,39.0,5.889
20.4,4.7075,61.8,5.949
18.2,4.4619,84.5,6.096
19.9,4.4986,56.5,5.834
23.1,4.4986,29.3,5.935
17.5,4.2579,81.7,5.99
20.2,3.7965,36.6,5.456
18.2,3.7965,69.5,5.727
13.6,3.7979,98.1,5.57
19.6,4.0123,89.2,5.965
15.2,3.9769,91.7,6.142
14.5,4.0952,100.0,5.813
15.6,4.3996,94.1,5.924
13.9,4.4546,85.7,5.599
16.6,4.682,90.3,5.813
14.8,4.4534,88.8,6.047
18.4,4.4547,94.4,6.495
21.0,4.239,87.3,6.674
12.7,4.233,94.1,5.713
14.5,4.175,100.0,6.072
13.2,3.99,82.0,5.95
13.1,3.7872,95.0,5.701
13.5,3.7598,96.9,6.096
18.9,3.3603,68.2,5.933
20.0,3.3779,61.4,5.841
21.0,3.9342,41.5,5.85
24.7,3.8473,30.2,5.966
30.8,5.4011,21.8,6.595
34.9,5.4011,15.8,7.024
26.6,5.7209,2.9,6.77
25.3,5.7209,6.6,6.169
24.7,5.7209,6.5,6.211
21.2,5.7209,40.0,6.069
19.3,5.1004,33.8,5.682
20.0,5.1004,33.3,5.786
16.6,5.6894,85.5,6.03
14.4,5.87,95.3,5.399
19.4,6.0877,62.0,5.602
19.7,6.8147,45.7,5.963
20.5,6.8147,63.0,6.115
25.0,6.8147,21.1,6.511
23.4,6.8147,21.4,5.998
18.9,7.3197,47.6,5.888
35.4,8.6966,21.9,7.249
24.7,9.1876,35.7,6.383
31.6,8.3248,40.5,6.816
23.3,7.8148,29.2,6.145
19.6,6.932,47.2,5.927
18.7,7.2254,66.2,5.741
16.0,6.8185,93.4,5.966
22.2,7.2255,67.8,6.456
25.0,7.9809,43.4,6.762
33.0,9.2229,59.5,7.104
23.5,6.6115,17.8,6.29
19.4,6.6115,31.1,5.787
22.0,6.498,21.4,5.878
17.4,6.498,36.8,5.594
20.9,6.498,33.0,5.885
24.2,5.2873,6.6,6.417
21.7,5.2873,17.5,5.961
22.8,5.2873,7.8,6.065
23.4,5.2873,6.2,6.245
24.1,4.2515,6.0,6.273
21.4,4.5026,45.0,6.286
20.0,4.0522,74.5,6.279
20.8,4.0905,45.8,6.14
21.2,5.0141,53.7,6.232
20.3,4.5026,36.6,5.874
28.0,5.4007,33.5,6.727
23.9,5.4007,70.4,6.619
24.8,5.4007,32.2,6.302
22.9,5.4007,46.7,6.167
23.9,4.7794,48.0,6.389
26.6,4.4377,56.1,6.63
22.5,4.4272,45.1,6.015
22.2,3.7476,56.8,6.121
23.6,3.4217,86.3,7.007
28.7,3.4145,63.1,7.079
22.6,3.0923,66.1,6.417
22.0,3.0921,73.9,6.405
22.9,3.6659,53.6,6.442
25.0,3.6659,28.9,6.211
20.6,3.615,77.3,6.249
28.4,3.4952,57.8,6.625
21.4,3.4952,69.6,6.163
38.7,3.4952,76.0,8.069
43.8,3.4952,36.9,7.82
33.2,3.4952,62.5,7.416
27.5,2.7778,79.9,6.727
26.5,2.8561,71.3,6.781
18.6,2.7147,85.4,6.405
19.3,2.7147,87.4,6.137
20.1,2.421,90.0,6.167
19.5,2.1069,96.7,5.851
19.5,2.211,91.9,5.836
20.4,2.1224,85.2,6.127
19.8,2.4329,97.1,6.474
19.4,2.5451,91.2,6.229
21.7,2.7778,54.4,6.195
22.8,2.6775,81.6,6.715
18.8,2.3534,92.9,5.913
18.7,2.548,95.4,6.092
18.5,2.2565,84.2,6.254
18.3,2.4631,88.2,5.928
21.2,2.7301,72.5,6.176
19.2,2.7474,82.6,6.021
20.4,2.4775,73.1,5.872
19.3,2.7592,65.2,5.731
22.0,2.2577,69.7,5.87
20.3,2.1974,84.1,6.004
20.5,2.0869,92.9,5.961
